Humidity(%rH),Pressure(mb),Temperature(C),DP_Class,Temp_Class
59.31399917602539,999.367919921875,22.066083908081055,DRY,WARM
59.50727844238281,999.368408203125,22.158740997314453,DRY,WARM
59.37439727783203,999.364990234375,22.01049041748047,DRY,WARM
59.29587936401367,999.361083984375,22.12167739868164,DRY,WARM
59.401580810546875,999.36181640625,22.195804595947266,DRY,WARM
59.44083786010742,999.3671875,21.991958618164062,DRY,WARM
59.29587936401367,999.368896484375,22.12167739868164,DRY,WARM
59.262657165527344,999.365478515625,22.08461570739746,DRY,WARM
59.377418518066406,999.366455078125,22.140209197998047,DRY,WARM
59.47707748413086,999.36767578125,22.12167739868164,DRY,WARM
59.43479919433594,999.369873046875,22.08461570739746,DRY,WARM
59.16904067993164,999.37451171875,22.04755210876465,DRY,WARM
59.419700622558594,999.374755859375,22.12167739868164,DRY,WARM
59.80323791503906,999.3759765625,22.158740997314453,DRY,WARM
59.335140228271484,999.37255859375,22.103147506713867,DRY,WARM
59.597877502441406,999.3828125,22.08461570739746,DRY,WARM
59.4438591003418,999.381103515625,22.103147506713867,DRY,WARM
59.3985595703125,999.371826171875,22.140209197998047,DRY,WARM
59.53144073486328,999.369384765625,22.103147506713867,DRY,WARM
59.15393829345703,999.365966796875,22.17727279663086,DRY,WARM
59.54351806640625,999.37109375,22.08461570739746,DRY,WARM
59.34117889404297,999.373291015625,22.08461570739746,DRY,WARM
59.43782043457031,999.37451171875,22.04755210876465,DRY,WARM
59.4438591003418,999.370849609375,22.12167739868164,DRY,WARM
59.41063690185547,999.374755859375,22.103147506713867,DRY,WARM
59.34722137451172,999.383544921875,22.066083908081055,DRY,WARM
59.42875671386719,999.385986328125,22.140209197998047,DRY,WARM
59.36534118652344,999.386962890625,22.066083908081055,DRY,WARM
59.33211898803711,999.383056640625,22.01049041748047,DRY,WARM
59.24755859375,999.38916015625,22.214336395263672,DRY,WARM
59.22038269042969,999.3955078125,22.195804595947266,DRY,WARM
59.34722137451172,999.40087890625,22.12167739868164,DRY,WARM
59.377418518066406,999.400146484375,22.12167739868164,DRY,WARM
59.24755859375,999.398193359375,21.991958618164062,DRY,WARM
59.41063690185547,999.392333984375,22.12167739868164,DRY,WARM
59.65223693847656,999.400390625,22.12167739868164,DRY,WARM
59.04521942138672,999.402099609375,22.04755210876465,DRY,WARM
59.19622039794922,999.388916015625,22.158740997314453,DRY,WARM
59.13883972167969,999.391845703125,22.066083908081055,DRY,WARM
59.41667938232422,999.387939453125,22.103147506713867,DRY,WARM
59.99651336669922,999.386962890625,22.08461570739746,DRY,WARM
59.67639923095703,999.378173828125,22.066083908081055,DRY,WARM
60.434410095214844,999.3828125,22.158740997314453,DRY,WARM
61.04746627807617,999.385009765625,22.232866287231445,DRY,WARM
61.09276580810547,999.387939453125,22.269929885864258,DRY,WARM
61.578983306884766,999.3984375,22.325523376464844,DRY,WARM
61.32228469848633,999.41455078125,22.269929885864258,DRY,WARM
61.733001708984375,999.426025390625,22.39965057373047,DRY,WARM
61.81454086303711,999.42333984375,22.418182373046875,DRY,WARM
61.8115234375,999.442138671875,22.381118774414062,DRY,WARM
61.89305877685547,999.44873046875,22.455244064331055,DRY,WARM
61.76320266723633,999.44873046875,22.362586975097656,DRY,WARM
61.569923400878906,999.447998046875,22.418182373046875,DRY,WARM
61.15920639038086,999.45458984375,22.30699348449707,DRY,WARM
60.95686721801758,999.446044921875,22.325523376464844,DRY,WARM
60.81492614746094,999.4345703125,22.30699348449707,DRY,WARM
60.645809173583984,999.41796875,22.30699348449707,DRY,WARM
61.002166748046875,999.40771484375,22.195804595947266,DRY,WARM
60.53407287597656,999.399658203125,22.25139808654785,DRY,WARM
60.81190872192383,999.384521484375,22.214336395263672,DRY,WARM
60.473670959472656,999.375732421875,22.25139808654785,DRY,WARM
60.47669219970703,999.367919921875,22.25139808654785,DRY,WARM
60.52199172973633,999.35791015625,22.195804595947266,DRY,WARM
60.627689361572266,999.3671875,22.214336395263672,DRY,WARM
60.57332992553711,999.376220703125,22.195804595947266,DRY,WARM
60.65789031982422,999.3740234375,22.232866287231445,DRY,WARM
60.54615020751953,999.380126953125,22.30699348449707,DRY,WARM
60.28341293334961,999.39208984375,22.214336395263672,DRY,WARM
60.3740119934082,999.390380859375,22.195804595947266,DRY,WARM
60.48876953125,999.3916015625,22.232866287231445,DRY,WARM
60.31663513183594,999.383544921875,22.25139808654785,DRY,WARM
60.183753967285156,999.38818359375,22.17727279663086,DRY,WARM
60.642791748046875,999.39013671875,22.195804595947266,DRY,WARM
60.63071060180664,999.3896484375,22.158740997314453,DRY,WARM
60.416290283203125,999.3935546875,22.214336395263672,DRY,WARM
60.44950866699219,999.388671875,22.25139808654785,DRY,WARM
60.28643035888672,999.377685546875,22.17727279663086,DRY,WARM
60.51293182373047,999.3740234375,22.232866287231445,DRY,WARM
60.59144973754883,999.37109375,22.30699348449707,DRY,WARM
61.1954460144043,999.370849609375,22.751747131347656,DRY,WARM
61.639381408691406,999.3701171875,23.326223373413086,DRY,WARM
62.5423583984375,999.361572265625,23.993356704711914,DRY,WARM
63.680885314941406,999.35986328125,25.01258659362793,DRY,WARM
64.33320617675781,999.345703125,25.27202796936035,DRY,WARM
64.66539764404297,999.34326171875,25.45734214782715,DRY,WARM
65.92774963378906,999.335693359375,25.679719924926758,DRY,WARM
66.61932373046875,999.3271484375,25.80944061279297,DRY,WARM
67.3773422241211,999.322021484375,25.902097702026367,DRY,WARM
68.06891632080078,999.316650390625,25.902097702026367,DRY,WARM
68.25011444091797,999.31884765625,25.624126434326172,DRY,WARM
68.3980941772461,999.31689453125,25.290559768676758,DRY,WARM
